Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00     7476     0.00     0.00  std::enable_if<std::__and_<std::allocator_traits<std::allocator<vec<3u, int> > >::__construct_helper<vec<3u, int>, vec<3u, int> const&>::type>::value, void>::type std::allocator_traits<std::allocator<vec<3u, int> > >::_S_construct<vec<3u, int>, vec<3u, int> const&>(std::allocator<vec<3u, int> >&, vec<3u, int>*, vec<3u, int> const&)
  0.00      0.00     0.00     7476     0.00     0.00  decltype (_S_construct({parm#1}, {parm#2}, (forward<vec<3u, int> const&>)({parm#3}))) std::allocator_traits<std::allocator<vec<3u, int> > >::construct<vec<3u, int>, vec<3u, int> const&>(std::allocator<vec<3u, int> >&, vec<3u, int>*, vec<3u, int> const&)
  0.00      0.00     0.00     7476     0.00     0.00  std::allocator_traits<std::allocator<int> >::deallocate(std::allocator<int>&, int*, unsigned int)
  0.00      0.00     0.00     7476     0.00     0.00  std::enable_if<std::__and_<std::allocator_traits<std::allocator<int> >::__construct_helper<int, int const&>::type>::value, void>::type std::allocator_traits<std::allocator<int> >::_S_construct<int, int const&>(std::allocator<int>&, int*, int const&)
  0.00      0.00     0.00     7476     0.00     0.00  std::allocator_traits<std::allocator<int> >::allocate(std::allocator<int>&, unsigned int)
  0.00      0.00     0.00     7476     0.00     0.00  decltype (_S_construct({parm#1}, {parm#2}, (forward<int const&>)({parm#3}))) std::allocator_traits<std::allocator<int> >::construct<int, int const&>(std::allocator<int>&, int*, int const&)
  0.00      0.00     0.00     7476     0.00     0.00  vec<3u, int>* std::__uninitialized_copy<false>::__uninit_copy<std::move_iterator<vec<3u, int>*>, vec<3u, int>*>(std::move_iterator<vec<3u, int>*>, std::move_iterator<vec<3u, int>*>, vec<3u, int>*)
  0.00      0.00     0.00     7476     0.00     0.00  int* std::__uninitialized_copy<true>::__uninit_copy<std::move_iterator<int*>, int*>(std::move_iterator<int*>, std::move_iterator<int*>, int*)
  0.00      0.00     0.00     7476     0.00     0.00  void std::vector<vec<3u, int>, std::allocator<vec<3u, int> > >::_M_emplace_back_aux<vec<3u, int> const&>(vec<3u, int> const&)
  0.00      0.00     0.00     7476     0.00     0.00  std::vector<vec<3u, int>, std::allocator<vec<3u, int> > >::push_back(vec<3u, int> const&)
  0.00      0.00     0.00     7476     0.00     0.00  std::vector<vec<3u, int>, std::allocator<vec<3u, int> > >::operator[](unsigned int)
  0.00      0.00     0.00     7476     0.00     0.00  void std::vector<int, std::allocator<int> >::_M_emplace_back_aux<int const&>(int const&)
  0.00      0.00     0.00     7476     0.00     0.00  std::vector<int, std::allocator<int> >::push_back(int const&)
  0.00      0.00     0.00     7476     0.00     0.00  void std::_Construct<vec<3u, int>, vec<3u, int> const&>(vec<3u, int>*, vec<3u, int> const&)
  0.00      0.00     0.00     7476     0.00     0.00  void std::_Construct<vec<3u, int>, vec<3u, int> >(vec<3u, int>*, vec<3u, int>&&)
  0.00      0.00     0.00     7476     0.00     0.00  int* std::__copy_move_a<true, int*, int*>(int*, int*, int*)
  0.00      0.00     0.00     7476     0.00     0.00  int* std::__copy_move_a2<true, int*, int*>(int*, int*, int*)
  0.00      0.00     0.00     7476     0.00     0.00  vec<3u, int>* std::uninitialized_copy<std::move_iterator<vec<3u, int>*>, vec<3u, int>*>(std::move_iterator<vec<3u, int>*>, std::move_iterator<vec<3u, int>*>, vec<3u, int>*)
  0.00      0.00     0.00     7476     0.00     0.00  int* std::uninitialized_copy<std::move_iterator<int*>, int*>(std::move_iterator<int*>, std::move_iterator<int*>, int*)
  0.00      0.00     0.00     7476     0.00     0.00  vec<3u, int>* std::__uninitialized_copy_a<std::move_iterator<vec<3u, int>*>, vec<3u, int>*, vec<3u, int> >(std::move_iterator<vec<3u, int>*>, std::move_iterator<vec<3u, int>*>, vec<3u, int>*, std::allocator<vec<3u, int> >&)
  0.00      0.00     0.00     7476     0.00     0.00  int* std::__uninitialized_copy_a<std::move_iterator<int*>, int*, int>(std::move_iterator<int*>, std::move_iterator<int*>, int*, std::allocator<int>&)
  0.00      0.00     0.00     7476     0.00     0.00  vec<3u, int>* std::__uninitialized_move_if_noexcept_a<vec<3u, int>*, vec<3u, int>*, std::allocator<vec<3u, int> > >(vec<3u, int>*, vec<3u, int>*, vec<3u, int>*, std::allocator<vec<3u, int> >&)
  0.00      0.00     0.00     7476     0.00     0.00  int* std::__uninitialized_move_if_noexcept_a<int*, int*, std::allocator<int> >(int*, int*, int*, std::allocator<int>&)
  0.00      0.00     0.00     7476     0.00     0.00  int* std::copy<std::move_iterator<int*>, int*>(std::move_iterator<int*>, std::move_iterator<int*>, int*)
  0.00      0.00     0.00     7476     0.00     0.00  vec<3u, int>&& std::forward<vec<3u, int> >(std::remove_reference<vec<3u, int> >::type&)
  0.00      0.00     0.00     6587     0.00     0.00  std::allocator<vec<3u, int> >::allocator(std::allocator<vec<3u, int> > const&)
  0.00      0.00     0.00     6587     0.00     0.00  void std::_Destroy<std::vector<vec<3u, int>, std::allocator<vec<3u, int> > > >(std::vector<vec<3u, int>, std::allocator<vec<3u, int> > >*)
  0.00      0.00     0.00     4984     0.00     0.00  __gnu_cxx::__normal_iterator<vec<3u, int> const*, std::vector<vec<3u, int>, std::allocator<vec<3u, int> > > >::__normal_iterator(vec<3u, int> const* const&)
  0.00      0.00     0.00     4118     0.00     0.00  std::move_iterator<vec<3u, float>*>::base() const
  0.00      0.00     0.00     4108     0.00     0.00  bool std::operator==<std::vector<vec<3u, int>, std::allocator<vec<3u, int> > >*>(std::move_iterator<std::vector<vec<3u, int>, std::allocator<vec<3u, int> > >*> const&, std::move_iterator<std::vector<vec<3u, int>, std::allocator<vec<3u, int> > >*> const&)
  0.00      0.00     0.00     4108     0.00     0.00  bool std::operator!=<std::vector<vec<3u, int>, std::allocator<vec<3u, int> > >*>(std::move_iterator<std::vector<vec<3u, int>, std::allocator<vec<3u, int> > >*> const&, std::move_iterator<std::vector<vec<3u, int>, std::allocator<vec<3u, int> > >*> const&)
  0.00      0.00     0.00     4095     0.00     0.00  std::move_iterator<std::vector<vec<3u, int>, std::allocator<vec<3u, int> > >*>::operator*() const
  0.00      0.00     0.00     4095     0.00     0.00  std::_Vector_base<vec<3u, int>, std::allocator<vec<3u, int> > >::_Vector_impl::_M_swap_data(std::_Vector_base<vec<3u, int>, std::allocator<vec<3u, int> > >::_Vector_impl&)
  0.00      0.00     0.00     4095     0.00     0.00  std::_Vector_base<vec<3u, int>, std::allocator<vec<3u, int> > >::_Vector_impl::_Vector_impl(std::allocator<vec<3u, int> >&&)
  0.00      0.00     0.00     4095     0.00     0.00  std::_Vector_base<vec<3u, int>, std::allocator<vec<3u, int> > >::_Vector_base(std::_Vector_base<vec<3u, int>, std::allocator<vec<3u, int> > >&&)
  0.00      0.00     0.00     4095     0.00     0.00  std::move_iterator<std::vector<vec<3u, int>, std::allocator<vec<3u, int> > >*>::operator++()
  0.00      0.00     0.00     4095     0.00     0.00  std::vector<vec<3u, int>, std::allocator<vec<3u, int> > >::vector(std::vector<vec<3u, int>, std::allocator<vec<3u, int> > >&&)
  0.00      0.00     0.00     4095     0.00     0.00  void std::_Construct<std::vector<vec<3u, int>, std::allocator<vec<3u, int> > >, std::vector<vec<3u, int>, std::allocator<vec<3u, int> > > >(std::vector<vec<3u, int>, std::allocator<vec<3u, int> > >*, std::vector<vec<3u, int>, std::allocator<vec<3u, int> > >&&)
  0.00      0.00     0.00     4095     0.00     0.00  std::remove_reference<std::vector<vec<3u, int>, std::allocator<vec<3u, int> > >&>::type&& std::move<std::vector<vec<3u, int>, std::allocator<vec<3u, int> > >&>(std::vector<vec<3u, int>, std::allocator<vec<3u, int> > >&)
  0.00      0.00     0.00     4095     0.00     0.00  std::vector<vec<3u, int>, std::allocator<vec<3u, int> > >&& std::forward<std::vector<vec<3u, int>, std::allocator<vec<3u, int> > > >(std::remove_reference<std::vector<vec<3u, int>, std::allocator<vec<3u, int> > > >::type&)
  0.00      0.00     0.00     3786     0.00     0.00  vec<3u, float> const& std::forward<vec<3u, float> const&>(std::remove_reference<vec<3u, float> const&>::type&)
  0.00      0.00     0.00     3774     0.00     0.00  vec<3u, float>::operator[](unsigned int)
  0.00      0.00     0.00     2559     0.00     0.00  std::vector<std::vector<vec<3u, int>, std::allocator<vec<3u, int> > >, std::allocator<std::vector<vec<3u, int>, std::allocator<vec<3u, int> > > > >::size() const
  0.00      0.00     0.00     2493     0.00     0.00  Model::nfaces()
  0.00      0.00     0.00     2492     0.00     0.00  vec<3u, int>::vec()
  0.00      0.00     0.00     2492     0.00     0.00  Model::face(int)
  0.00      0.00     0.00     2492     0.00     0.00  __gnu_cxx::new_allocator<vec<3u, int> >::new_allocator()
  0.00      0.00     0.00     2492     0.00     0.00  void __gnu_cxx::new_allocator<std::vector<vec<3u, int>, std::allocator<vec<3u, int> > > >::construct<std::vector<vec<3u, int>, std::allocator<vec<3u, int> > >, std::vector<vec<3u, int>, std::allocator<vec<3u, int> > > const&>(std::vector<vec<3u, int>, std::allocator<vec<3u, int> > >*, std::vector<vec<3u, int>, std::allocator<vec<3u, int> > > const&)
  0.00      0.00     0.00     2492     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator()
  0.00      0.00     0.00     2492     0.00     0.00  __gnu_cxx::new_allocator<int>::~new_allocator()
  0.00      0.00     0.00     2492     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<vec<3u, int> > >::_S_select_on_copy(std::allocator<vec<3u, int> > const&)
  0.00      0.00     0.00     2492     0.00     0.00  std::vector<vec<3u, int>, std::allocator<vec<3u, int> > >::end() const
  0.00      0.00     0.00     2492     0.00     0.00  std::vector<vec<3u, int>, std::allocator<vec<3u, int> > >::begin() const
  0.00      0.00     0.00     2492     0.00     0.00  std::allocator<vec<3u, int> >::allocator(std::allocator<vec<3u, int> > const&)
